id,indexed,hangul,ipa,POS,abs_freq,rel_freq
2,것,것,k ʌ t,NNB,306021,1.847
7,수__02,수,sʰ u,NNB,117579,0.71
9,그,그,k ɯ,MM,109987,0.664
12,나,나,n ɑ,NP,97710,0.59
13,말__01,말,m ɑ l,NNG,83043,0.501
14,그,그,k ɯ,NP,82906,0.5
15,사람,사람,sʰ ɑ l ɑ m,NNG,71851,0.434
16,이__05,이,i,MM,66843,0.404
18,등__05,등,t ɯ ŋ,NNB,59297,0.358
19,우리,우리,u l i,NP,58091,0.351
22,때__01,때,t* ɛ,NNG,54689,0.33
23,년__02,년,n jʌ n,NNB,52668,0.318
26,일__01,일,i l,NNG,46490,0.281
28,이,이,i,NP,40548,0.245
29,생각__01,생각,sʰ ɛ ŋ k ɑ k,NNG,39918,0.241
31,때문,때문,t* ɛ m u n,NNB,39053,0.236
33,한,한,h ɑ n,MM,36680,0.221
34,그것,그것,k ɯ k ʌ t,NP,36517,0.22
35,그러나,그러나,k ɯ l ʌ n ɑ,MAJ,36148,0.218
38,일,일,i l,NNB,32845,0.198
41,사회__07,사회,sʰ ɑ h wɛ,NNG,28750,0.174
42,더,더,t ʌ,MAG,27750,0.168
44,그녀,그녀,k ɯ n jʌ,NP,27087,0.164
45,문제__06,문제,m u n tɕ ɛ,NNG,26805,0.162
46,또,또,t* o,MAG,26735,0.161
48,그리고,그리고,k ɯ l i k o,MAJ,26098,0.158
50,속__01,속,sʰ o k,NNG,25529,0.154
51,씨,씨,s* i,NNB,24906,0.15
53,월,월,wʌ l,NNB,23928,0.144
59,집__01,집,tɕ i p,NNG,22351,0.135
60,중__04,중,tɕ u ŋ,NNB,22042,0.133
61,경우__03,경우,k jʌ ŋ u,NNG,22017,0.133
63,명,명,m jʌ ŋ,NNB,21856,0.132
65,자신__01,자신,tɕ ɑ sʰ i n,NNG,21557,0.13
66,두,두,t u,MM,21016,0.127
67,하나,하나,h ɑ n ɑ,NR,20927,0.126
68,안,안,ɑ n,MAG,20439,0.123
69,그런,그런,k ɯ l ʌ n,MM,20008,0.121
70,내,내,n ɛ,NP,19858,0.12
71,다시,다시,t ɑ sʰ i,MAG,19711,0.119
72,데,데,t ɛ,NNB,19200,0.116
73,다른,다른,t ɑ l ɯ n,MM,18981,0.115
74,번,번,p ʌ n,NNB,18871,0.114
75,앞,앞,ɑ p,NNG,18776,0.113
76,시작__01,시작,sʰ i tɕ ɑ k,NNG,18496,0.112
77,잘,잘,tɕ ɑ l,MAG,18464,0.111
78,한국,한국,h ɑ n k u k,NNP,18054,0.109
80,원__01,원,wʌ n,NNB,17857,0.108
82,시간__04,시간,sʰ i k ɑ n,NNG,17621,0.106
83,아이__01,아이,ɑ i,NNG,17545,0.106
84,세계__02,세계,sʰ ɛ k jɛ,NNG,17367,0.105
85,소리__01,소리,sʰ o l i,NNG,17297,0.104
86,무엇,무엇,m u ʌ t,NP,17229,0.104
89,정부__08,정부,tɕ ʌ ŋ p u,NNG,16984,0.103
90,사실__04,사실,sʰ ɑ sʰ i l,NNG,16947,0.102
94,뒤__01,뒤,t wi,NNG,16699,0.101
95,이런,이런,i l ʌ n,MM,16266,0.098
96,개,개,k ɛ,NNB,16176,0.098
97,눈__01,눈,n u n,NNG,16031,0.097
98,미국,미국,m i k u k,NNP,16022,0.097
99,거,거,k ʌ,NNB,16021,0.097
101,여자__02,여자,jʌ tɕ ɑ,NNG,15643,0.094
102,자기,자기,tɕ ɑ k i,NP,15617,0.094
103,필요,필요,pʰ i l jo,NNG,15536,0.094
